latitude,longitude,elevation,distance,hike_city,gain,loss,pace_dist,pace_gain,FME,facilities
43.82514,10.64272,19.9,0.055,,0,-1.1,3,300,0:01,
43.82493,10.6427,19.3,0.024,,0,-0.6,3,300,0:00,
43.82447,10.64266,16.7,0.051,,0,-2.6,3,300,0:01,
43.824,10.64263,16.6,0.052,,0,-0.1,3,300,0:01,
43.82369,10.64256,17.2,0.035,,0.6,0,3,300,0:00,
43.82337,10.64246,17.9,0.037,,0.7,0,3,300,0:00,
43.82307,10.64233,18.9,0.035,,1,0,3,300,0:00,
43.82255,10.64211,18.9,0.06,,0,0,3,300,0:01,
43.8224,10.64217,18.9,0.017,,0,0,3,300,0:00,
43.8224,10.64217,18.9,0,,0,0,3,300,0:00,
43.82228,10.64236,19.5,0.021,,0.6,0,3,300,0:00,
43.82217,10.64264,20.4,0.025,,0.9,0,3,300,0:00,
43.82213,10.64287,20.7,0.019,,0.3,0,3,300,0:00,
43.82212,10.64314,20.6,0.022,,0,-0.1,3,300,0:00,
43.82213,10.64336,20.6,0.018,,0,0,3,300,0:00,
43.82209,10.64349,20.2,0.011,,0,-0.4,3,300,0:00,
43.82188,10.64351,19.9,0.023,,0,-0.3,3,300,0:00,
43.82179,10.64352,19.6,0.011,,0,-0.3,3,300,0:00,
43.82174,10.6437,18.9,0.015,,0,-0.7,3,300,0:00,
43.82158,10.64481,17.8,0.091,,0,-1.1,3,300,0:01,
43.82159,10.64501,18,0.016,,0.2,0,3,300,0:00,
43.82167,10.64526,18,0.022,,0,0,3,300,0:00,
43.82189,10.64568,19.3,0.042,,1.3,0,3,300,0:01,
43.82198,10.64593,19.2,0.022,,0,-0.1,3,300,0:00,
43.82199,10.64619,19.2,0.021,,0,0,3,300,0:00,
43.82196,10.64639,19.1,0.017,,0,-0.1,3,300,0:00,
43.82191,10.64756,22,0.094,,2.9,0,3,300,0:02,
43.82189,10.64776,22.2,0.016,,0.2,0,3,300,0:00,
43.82181,10.64829,23.8,0.044,,1.6,0,3,300,0:01,
43.82173,10.64849,24,0.018,,0.2,0,3,300,0:00,
43.82128,10.64934,21.8,0.085,,0,-2.2,3,300,0:01,
43.82113,10.64975,20.1,0.037,,0,-1.7,3,300,0:00,
43.821,10.65075,18.9,0.082,,0,-1.2,3,300,0:01,
43.8209,10.65143,17.2,0.055,,0,-1.7,3,300,0:01,
43.82079,10.65222,17,0.065,,0,-0.2,3,300,0:01,
43.82075,10.65241,17.7,0.016,,0.7,0,3,300,0:00,
43.82065,10.65314,19.8,0.06,,2.1,0,3,300,0:01,
43.82059,10.6535,20,0.03,,0.2,0,3,300,0:00,
43.82036,10.65446,21.3,0.081,,1.3,0,3,300,0:01,
43.82018,10.6551,21.4,0.055,,0.1,0,3,300,0:01,
43.82,10.65574,21,0.055,,0,-0.4,3,300,0:01,
43.81982,10.65637,20.4,0.055,Badia Pozzeveri,0,-0.6,3,300,0:01,AH RBG
43.81964,10.657,19,0.054,,0,-1.4,3,300,0:01,
43.81945,10.65764,19.5,0.056,,0.5,0,3,300,0:01,
43.81927,10.65827,20,0.054,,0.5,0,3,300,0:01,
43.81909,10.6589,20,0.055,,0,0,3,300,0:01,
43.81885,10.65967,20,0.067,,0,0,3,300,0:01,
43.81864,10.66044,18,0.067,,0,-2,3,300,0:01,
43.81843,10.6612,17.3,0.065,,0,-0.7,3,300,0:01,
43.81815,10.66213,16.7,0.081,,0,-0.6,3,300,0:01,
43.81792,10.6629,16.5,0.067,,0,-0.2,3,300,0:01,
43.81769,10.66367,17.9,0.067,,1.4,0,3,300,0:01,
43.81743,10.66434,18.9,0.061,,1,0,3,300,0:01,
43.81717,10.665,20,0.061,,1.1,0,3,300,0:01,
43.81691,10.66563,20,0.058,,0,0,3,300,0:01,
43.81665,10.66627,20,0.059,,0,0,3,300,0:01,
43.81639,10.6669,20,0.058,,0,0,3,300,0:01,
43.81625,10.66727,19.4,0.034,,0,-0.6,3,300,0:00,
43.81619,10.66756,19,0.024,,0,-0.4,3,300,0:00,
43.81619,10.66799,19,0.035,,0,0,3,300,0:00,
43.81631,10.66837,19.6,0.033,,0.6,0,3,300,0:00,
43.81654,10.66869,19.3,0.036,,0,-0.3,3,300,0:00,
43.81696,10.66917,18.1,0.061,,0,-1.2,3,300,0:01,
43.81737,10.66964,20.5,0.059,,2.4,0,3,300,0:01,
43.81704,10.67028,20,0.063,,0,-0.5,3,300,0:01,
43.81672,10.67091,17.2,0.062,,0,-2.8,3,300,0:01,
43.81659,10.67117,16.7,0.026,,0,-0.5,3,300,0:00,
43.81627,10.67176,16.8,0.059,,0.1,0,3,300,0:01,
43.81595,10.67235,16.3,0.059,,0,-0.5,3,300,0:01,
43.81568,10.67272,13.6,0.043,,0,-2.7,3,300,0:00,
43.81537,10.67314,12,0.048,,0,-1.6,3,300,0:00,
43.81489,10.67416,16,0.098,,4,0,3,300,0:02,
43.81482,10.67462,17.6,0.038,,1.6,0,3,300,0:01,
43.81512,10.67472,17.6,0.034,,0,0,3,300,0:00,
43.81511,10.67536,19.2,0.051,,1.6,0,3,300,0:01,
43.81512,10.67532,19.1,0,Altopascio,0,-0.1,3,300,0:00,AH RBG T
43.8151,10.67553,19.6,0.017,,0.5,0,3,300,0:00,
43.81509,10.67568,19.8,0.012,,0.2,0,3,300,0:00,
43.81507,10.67602,20,0.028,,0.2,0,3,300,0:00,
43.81443,10.67598,19.5,0.071,,0,-0.5,3,300,0:01,
43.81427,10.67601,19.2,0.018,,0,-0.3,3,300,0:00,
